"","team","wins","losses","ties","win_perc","offensive_rating","defensive_rating","rank","overall_rating","power_rating"
"149","Michigan",35,19,0,0.648148148148148,0.815024139228907,1.72853549706446,59,0.603614033011024,0.766539374760927
"150","Michigan St.",16,29,0,0.355555555555556,0.395379215891435,-1.56341158829649,58,0.30262360180171,0.531492329303572
"151","Middle Tenn.",26,27,0,0.490566037735849,0.54713326813432,0.688017106211427,74,0.498996266956915,0.684842103805935
"152","Minnesota",20,30,0,0.4,-0.70127865526946,0.527277751694493,30,0.398224551862871,0.606148260272904
"153","Mississippi St.",37,17,0,0.685185185185185,2.42800197208258,2.12771194005451,19,0.749611345110798,0.880550430580515
"154","Mississippi Val.",1,35,0,0.0277777777777778,-2.97895006246019,-6.9463137738596,297,-0.37798101958482,0
"155","Missouri",25,31,0,0.446428571428571,1.00099593639618,1.78975536923256,4,0.621700724582541,0.780663489600402
"156","Missouri St.",20,32,0,0.384615384615385,-0.551659095613988,-0.526822050624014,125,0.32175304686129,0.546430742875153
"157","Monmouth",11,42,0,0.207547169811321,-2.48433133008873,-2.05681439623319,220,0.0600574115441251,0.342069475830058
"158","Montana",8,41,0,0.163265306122449,-2.1939396396508,-2.20390471759303,214,0.068278874454094,0.348489715033548
"159","Morehead St.",8,41,0,0.163265306122449,0.386731852695767,-3.48857974717763,246,0.143197794664179,0.406994800306474
"160","Morgan St.",18,28,0,0.391304347826087,-2.05006499275051,-1.28580909068274,298,0.154103891080749,0.415511502082968
"161","Mount St. Mary&#39;s",10,39,0,0.204081632653061,-2.85745820919702,-1.7532014414198,293,0.0589489407971055,0.341203857700551
"162","Murray St.",21,27,0,0.4375,-0.578251891993467,-0.671247875748577,217,0.307974317140745,0.535670767224241
"163","N.C. A&amp;T",12,38,0,0.24,-1.30984771132969,-2.31500536084683,275,0.121086607412405,0.389727908418242
"164","N.C. Central",13,32,0,0.288888888888889,-1.36807431848243,-3.49812498978876,274,0.0194018002588759,0.310321020321135
"165","NC State",25,29,0,0.462962962962963,0.634447053453144,0.681275298104175,31,0.504560620156575,0.689187374099766
"166","Nebraska",38,12,0,0.76,3.67292683993683,2.04759699858189,35,0.830268986803192,0.943536952434996
"167","Nevada",40,12,0,0.769230769230769,0.874626560310162,2.25211762464203,85,0.650985743669738,0.803532512994109
"168","New Mexico",21,28,1,0.428571428571429,-0.988988082622849,0.350984902939851,107,0.363513129318173,0.579041693197092
"169","New Mexico St.",26,26,0,0.5,0.172596333084603,-0.624172883387313,78,0.36449085921274,0.57980521422349
"170","Niagara",11,30,0,0.268292682926829,0.359381200176337,-4.82651432933824,272,0.0309056402058343,0.31930450720503
"171","Nicholls",31,24,0,0.563636363636364,0.560620312470891,-0.26883875391718,157,0.421004419168596,0.623937332452404
"172","NIU",21,28,0,0.428571428571429,-0.952028496300323,0.550983871158186,155,0.382603141166723,0.593949312900215
"173","Norfolk St.",21,22,0,0.488372093023256,-2.14799529750982,-0.893392320789871,308,0.179612176438832,0.435431228713516
"174","North Ala.",29,21,0,0.58,0.8697742866502,1.74427842799626,130,0.608750650055307,0.77055062074989
"175","North Carolina",39,14,0,0.735849056603774,1.75954313745249,1.0715682388727,43,0.615625499990312,0.775919273695743
"176","North Dakota",26,28,0,0.481481481481481,-1.07570245178726,-0.166657951172846,192,0.31473089242444,0.540947058073296
"177","North Dakota St.",19,31,0,0.38,-1.04967188318296,-0.66845762473854,124,0.275158866333439,0.510044787266611
"178","North Florida",41,13,0,0.759259259259259,0.921529133090863,1.75798781008492,126,0.613509541577437,0.774266896338567
"179","North Texas",34,19,0,0.641509433962264,1.05300783795703,0.171477780857498,68,0.491844414816812,0.679257136508719
"180","Northern Colo.",17,28,0,0.377777777777778,0.074596424725604,-1.85297771219781,133,0.256249150672785,0.495277963023669
