"","team_name","rpi_coef","record","rpi_rank"
"187","North Dakota St.",0.471924388803198,"19-31-0",199
"188","North Florida",0.564619659914437,"41-13-0",44
"189","North Texas",0.556899124214699,"34-19-0",55
"190","Northern Colo.",0.460210395104317,"17-28-0",216
"191","Northern Ky.",0.449510711653739,"22-27-0",234
"192","Northwestern",0.561044260858669,"29-18-1",51
"193","Northwestern St.",0.398522910911007,"6-43-0",294
"194","Notre Dame",0.535256905434899,"23-29-1",88
"195","Oakland",0.435652522005142,"14-27-0",254
"196","Ohio",0.524135320997215,"35-17-0",98
"197","Ohio St.",0.608597143667767,"43-11-1",21
"198","Oklahoma",0.652349152767282,"42-7-0",5
"199","Oklahoma St.",0.60299399232673,"33-17-0",24
